cover,title,author,shelf,isbn,isbn13,asin,pages,avg_rating,num_ratings,date_pub,date_pub_edition,review,comments,read_count,date_started,date_read,goodreads_id,goodreads_url,rating_numeric
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348786731l/1800287.jpg,The Biggest Bear,"Ward, Lynd",to-read,0395148065,9780395148068,B002E66YX0,88.0,4.04,4856,1952,1980,Write a review,0,not set[edit],,2022-11-12,1800287,https://www.goodreads.com/book/show/1800287.The_Biggest_Bear,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486398745l/31869155.jpg,The Captain Class: The Hidden Force that Creates the World's Greatest Teams,"Walker, Sam",to-read,0812997190,9780812997194,0812997190,352.0,4.02,4063,2016,2017,Write a review,0,not set[edit],,2023-01-05,31869155,https://www.goodreads.com/book/show/31869155-the-captain-class,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619543879l/55918690.jpg,Becoming Trader Joe: How I Did Business My Way and Still Beat the Big Guys,"Coulombe, Joe",to-read,1400225434,9781400225439,1400225434,288.0,3.45,4171,2021,2021,Write a review,0,not set[edit],,2023-01-20,55918690,https://www.goodreads.com/book/show/55918690-becoming-trader-joe,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523l/1953.jpg,A Tale of Two Cities,"Dickens, Charles",to-read,0141439602,9780141439600,0141439602,489.0,3.87,990946,1859,2003,Write a review,0,not set[edit],,2023-02-06,1953,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617146646l/44678031.jpg,Yearbook,"Rogen, Seth",to-read,1984825402,9781984825407,1984825402,260.0,4.16,77971,2021,2021,Write a review,0,not set[edit],,2023-02-10,44678031,https://www.goodreads.com/book/show/44678031-yearbook,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542215231l/32603079.jpg,"Wanderers(Wanderers, #1)","Wendig, Chuck",to-read,039918211X,9780399182112,039918211X,845.0,3.98,28727,2019,2019,Write a review,0,not set[edit],,2023-02-19,32603079,https://www.goodreads.com/book/show/32603079-wanderers,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456091964l/28186015.jpg,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,"O'Neil, Cathy",to-read,0553418815,9780553418811,0553418815,259.0,3.88,29010,2016,2016,Write a review,0,not set[edit],,2023-02-24,28186015,https://www.goodreads.com/book/show/28186015-weapons-of-math-destruction,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1270154842l/7717531.jpg,Getting Naked: A Business Fable about Shedding the Three Fears That Sabotage Client Loyalty,"Lencioni, Patrick",to-read,0470597607,9780470597606,0470597607,240.0,4.20,6102,2002,2009,Write a review,0,not set[edit],,2023-02-27,7717531,https://www.goodreads.com/book/show/7717531-getting-naked,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433591836l/833015.jpg,SPIN Selling: Situation Problem Implication Need-payoff,"Rackham, Neil",to-read,0070511136,9780070511132,0070511136,216.0,4.00,12005,1988,1988,Write a review,0,not set[edit],,2023-05-07,833015,https://www.goodreads.com/book/show/833015.SPIN_Selling,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663707011l/60965426.jpg,The Creative Act: A Way of Being,"Rubin, Rick",to-read,0593652886,9780593652886,0593652886,406.0,4.01,64246,2023,2023,Write a review,0,not set[edit],,2023-05-07,60965426,https://www.goodreads.com/book/show/60965426-the-creative-act,
